Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-11 05:42:01.040,p1,A2,dest-plate-001,A1,completed
2025-05-11 05:42:01.527,p1,B5,dest-plate-001,A2,completed
,p1,D10,dest-plate-001,A4,started
2025-05-11 05:42:12.655,p1,E7,dest-plate-001,A6,completed
2025-05-11 05:42:14.482,p1,A6,dest-plate-001,D6,completed
2025-05-11 05:42:15.330,p2,A2,dest-plate-001,D4,completed
2025-05-11 05:42:15.987,p2,A3,dest-plate-001,D7,completed
2025-05-11 05:42:17.037,p2,A4,dest-plate-001,D8,completed
2025-05-11 05:42:18.302,p2,A5,dest-plate-001,D9,completed
,p3,B6,dest-plate-001,D10,uncompleted
,p3,B5,dest-plate-001,B3,uncompleted
,p3,H1,dest-plate-001,B12,uncompleted
,p3,H2,dest-plate-001,B10,uncompleted
,p3,H3,dest-plate-001,B9,uncompleted
