Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-17 20:56:31.476,p1,A2,dest-plate-001,A1,completed
2025-05-17 20:56:31.943,p1,B5,dest-plate-001,A2,completed
2025-05-17 20:56:32.707,p1,D10,dest-plate-001,A4,completed
2025-05-17 20:56:34.405,p1,E7,dest-plate-001,A6,skipped
2025-05-17 20:56:34.405,p1,A6,dest-plate-001,D6,skipped
2025-05-17 20:56:36.749,p2,A2,dest-plate-001,D4,completed
2025-05-17 20:56:37.275,p2,A3,dest-plate-001,D7,completed
2025-05-17 20:56:37.825,p2,A4,dest-plate-001,D8,completed
2025-05-17 20:56:38.649,p2,A5,dest-plate-001,D9,completed
2025-05-17 20:58:34.091,p3,B6,dest-plate-001,D10,completed
2025-05-17 20:58:34.833,p3,B5,dest-plate-001,B3,completed
2025-05-17 20:58:35.163,p3,H1,dest-plate-001,B12,completed
2025-05-17 20:58:35.386,p3,H2,dest-plate-001,B10,completed
2025-05-17 20:58:35.621,p3,H3,dest-plate-001,B9,completed
