Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-11 05:34:49.679,p1,A2,dest-plate-001,A1,completed
,p1,B5,dest-plate-001,A2,started
2025-05-11 05:34:51.071,p1,D10,dest-plate-001,A4,skipped
2025-05-11 05:35:27.913,p1,E7,dest-plate-001,A6,skipped
2025-05-11 05:35:28.128,p1,A6,dest-plate-001,D6,skipped
2025-05-11 05:35:28.314,p2,A2,dest-plate-001,D4,skipped
2025-05-11 05:35:28.488,p2,A3,dest-plate-001,D7,skipped
2025-05-11 05:35:28.660,p2,A4,dest-plate-001,D8,skipped
2025-05-11 05:35:28.820,p2,A5,dest-plate-001,D9,skipped
2025-05-11 05:35:40.941,p3,B6,dest-plate-001,D10,completed
2025-05-11 05:35:41.459,p3,B5,dest-plate-001,B3,completed
2025-05-11 05:35:41.787,p3,H1,dest-plate-001,B12,completed
2025-05-11 05:35:42.038,p3,H2,dest-plate-001,B10,completed
2025-05-11 05:35:42.537,p3,H3,dest-plate-001,B9,completed
