Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-11 05:36:57.802,p1,A2,dest-plate-001,A1,completed
,p1,B5,dest-plate-001,A2,started
2025-05-11 05:36:58.907,p1,D10,dest-plate-001,A4,skipped
2025-05-11 05:37:25.638,p1,E7,dest-plate-001,A6,completed
2025-05-11 05:37:28.595,p1,A6,dest-plate-001,D6,completed
2025-05-11 05:37:36.884,p2,A2,dest-plate-001,D4,completed
2025-05-11 05:37:37.666,p2,A3,dest-plate-001,D7,completed
2025-05-11 05:37:38.772,p2,A4,dest-plate-001,D8,completed
2025-05-11 05:37:41.704,p2,A5,dest-plate-001,D9,completed
,p3,B6,dest-plate-001,D10,uncompleted
,p3,B5,dest-plate-001,B3,uncompleted
,p3,H1,dest-plate-001,B12,uncompleted
,p3,H2,dest-plate-001,B10,uncompleted
,p3,H3,dest-plate-001,B9,uncompleted
