Timestamp,Source plate,Source well,Destination plate,Destination well,Status
,p1,A2,dest-plate-001,A1,started
2025-05-11 02:56:34.718,p1,B5,dest-plate-001,A2,skipped
2025-05-11 02:56:34.718,p1,D10,dest-plate-001,A4,skipped
2025-05-11 02:56:34.718,p1,E7,dest-plate-001,A6,skipped
2025-05-11 02:56:34.718,p1,A6,dest-plate-001,D6,skipped
,p2,A2,dest-plate-001,D4,uncompleted
,p2,A3,dest-plate-001,D7,uncompleted
,p2,A4,dest-plate-001,D8,uncompleted
,p2,A5,dest-plate-001,D9,uncompleted
,p3,B6,dest-plate-001,D10,uncompleted
,p3,B5,dest-plate-001,B3,uncompleted
,p3,H1,dest-plate-001,B12,uncompleted
,p3,H2,dest-plate-001,B10,uncompleted
,p3,H3,dest-plate-001,B9,uncompleted
