Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-07 03:22:52.901,p1,A2,dest-plate-001,A1,completed
2025-05-07 03:22:53.451,p1,B5,dest-plate-001,A2,completed
2025-05-07 03:22:53.967,p1,D10,dest-plate-001,A4,completed
2025-05-07 03:22:54.967,p1,E7,dest-plate-001,A6,completed
2025-05-07 03:22:56.441,p1,A6,dest-plate-001,D6,completed
2025-05-07 03:23:05.795,p2,A2,dest-plate-001,D4,completed
2025-05-07 03:23:06.332,p2,A3,dest-plate-001,D7,completed
2025-05-07 03:23:06.609,p2,A4,dest-plate-001,D8,completed
2025-05-07 03:23:07.107,p2,A5,dest-plate-001,D9,completed
2025-05-07 03:23:17.801,p3,B6,dest-plate-001,D10,completed
2025-05-07 03:23:18.289,p3,B5,dest-plate-001,B3,completed
2025-05-07 03:23:18.562,p3,H1,dest-plate-001,B12,completed
2025-05-07 03:23:19.096,p3,H2,dest-plate-001,B10,completed
2025-05-07 03:23:19.894,p3,H3,dest-plate-001,B9,completed
