Timestamp,Source plate,Source well,Destination plate,Destination well,Status
2025-05-11 05:33:32.790,p1,A2,dest-plate-001,A1,completed
2025-05-11 05:33:33.335,p1,B5,dest-plate-001,A2,completed
2025-05-11 05:33:34.388,p1,D10,dest-plate-001,A4,completed
2025-05-11 05:33:36.366,p1,E7,dest-plate-001,A6,completed
2025-05-11 05:33:47.353,p1,A6,dest-plate-001,D6,completed
2025-05-11 05:33:48.822,p2,A2,dest-plate-001,D4,completed
2025-05-11 05:33:52.494,p2,A3,dest-plate-001,D7,completed
2025-05-11 05:33:53.910,p2,A4,dest-plate-001,D8,completed
2025-05-11 05:33:56.489,p2,A5,dest-plate-001,D9,completed
2025-05-11 05:34:28.480,p3,B6,dest-plate-001,D10,completed
2025-05-11 05:34:31.998,p3,B5,dest-plate-001,B3,completed
,p3,H1,dest-plate-001,B12,started
2025-05-11 05:34:36.328,p3,H2,dest-plate-001,B10,skipped
2025-05-11 05:34:36.328,p3,H3,dest-plate-001,B9,skipped
